raison_sociale;adresse_complete;cp_ville;lat;lng
CENTRE READAPTATION FONCT COUBERT;RTE DE LIVERDY;77170 COUBERT;48.680505;2.7179443
HÔPITAL DE JOUR BOUSSINGAULT;81 R VERGNIAUD;75013 PARIS;48.8234627;2.3443368
HÔPITAL HENRI HEY;15 AV DE LA PORTE DE CHOISY;75013 PARIS;48.8187203;2.3653728
S.M.P.R.FLEURY-MEROGIS;7 AV DES PEUPLIERS;91705 STE GENEVIEVE BOIS CEDEX;48.6424141;2.3661604
"CLINIQUE  ""LE MOULIN DE VIRY""";2 R HORACE DE CHOISEUL;91170 VIRY CHATILLON;48.6677358;2.3737786
CENTRE MEDICO-PSY. 91 G 03;15 R PERICHON;91540 MENNECY;48.5679511;2.431559
INSTITUT MÉDICALISÉ DE ROMAINVILLE;140 R PAUL DE KOCK;93230 ROMAINVILLE;48.8914208;2.4383702
C.M.P. APSI;4 PL DE LA CHENAIE;94470 BOISSY ST LEGER;48.7543354;2.4982443
"UNITE CLINIQUE"" L'EAU VIVE """;6 AV GENERAL DE GAULLE;91450 SOISY SUR SEINE;48.6171449;2.4989254
HOPITAL DE JOUR 94G05;8 BD DE CHAMPIGNY;94100 ST MAUR DES FOSSES;48.8075635;2.5089962
CMP JOFFRE;43 BD JOFFRE;77300 FONTAINEBLEAU;48.4130585;2.6994335
CATTP DE DOURDAN 91G02;39 R DU FAUBOURG DE CHARTES;91410 DOURDAN;48.5333784;2.0073024
CLINIQUE SAINT LOUIS;1 R BASSET;78300 POISSY;48.9301755;2.0377888
CENTRE MEDICO-PSY SECT.78-G-7;15 AV AUGUSTE RENOIR;78160 MARLY LE ROI;48.8790614;2.0930419
CLINIQUE KORIAN LA MARETTE;R DU CREUX DE LA BORNE;91690 SACLAS;48.3563858;2.1269558
"MAISON SANTE ""CLAIRE DEMEURE"" L.S.";12 R PORTE DE BUC;78000 VERSAILLES;48.7935919;2.1371203
CH SUD ESSONNE DOURDAN ETAMPES;26 AV CHARLES DE GAULLE;91152 ETAMPES CEDEX;48.4230734;2.1529824
HOP JOUR CTR PSY LES VIGNOLLES;43 R DE LA HALTE;95120 ERMONT;48.9896224;2.2630802
HDJ / CMP / CATTP 92G20;11 R DES VALLEES;92290 CHATENAY MALABRY;48.7646335;2.2797953
CMP ADULTES 92G02 (DR FLEMING);5 AV DU DOCTEUR FLEMING;92600 ASNIERES SUR SEINE;48.9317932;2.2818593
CMP;29 AV DE PARIS;95600 EAUBONNE;48.9923717;2.2848231
CMP  LA VILLETTE INFANTO-JUVENIL;36 R DE LA VILLETTE;75019 PARIS;48.8766423;2.3878413
CENTRE ACCUEIL.48 H;50 BD DE LA BOISSIERE;93100 MONTREUIL;48.878368;2.453242
CENTRE MEDICO PSYCH.ST-LOUIS;1T R SAINT LOUIS;93250 VILLEMOMBLE;48.8881672;2.5100523
CENTRE MEDICO-PSYCHOLOGIQUE 77G13;PL CHARLES DE GAULLE;77410 CLAYE SOUILLY;48.9449123;2.6896863
CENTRE FERRY;6 R JULES FERRY;77130 MONTEREAU FAULT YONNE;48.3955749;2.9577642
CLINIQUE KORIAN LA GUYONNE;15 R PROFESSEUR MARILLER;78690 ST REMY L HONORE;48.7567915;1.882514
CTRE SOINS SUITE SARTROUVILLE;20 AV MAURICE BERTEAUX;78502 SARTROUVILLE CEDEX;48.9429942;2.1615237
CENTRE THOMAS LEMAITRE;9 R THOMAS LEMAITRE;92000 NANTERRE;48.8889167;2.1933446
APPT & CTRE PSYCHOTHERAPIQUE;5B AV FOCH;95240 CORMEILLES EN PARISIS;48.9692167;2.1941106
CENTRE DE LA PORTE TRIVAUX  92 G 17;142 R DE LA PORTE TRIVAUX;92140 CLAMART;48.78479;2.235239
CENTRE DENISE CROISSANT;7 ALL DE VERRIERES;92290 CHATENAY MALABRY;48.7718498;2.2583247
SSR L'AMANDIER;57 AV DE LA DIVISION LECLERC;92290 CHATENAY MALABRY;48.7618;2.2861637
"CMP 92I07 ADOLESCENTS ""ODYSEE""";17 AV DE VERDUN;92330 SCEAUX;48.7803804;2.2968801
CLINIQUE OUDINOT-FOND ST JEAN DE DIEU;19 R OUDINOT;75007 PARIS;48.8500847;2.317552
CMP ADULTES DE L'UNAFAM;12 VLA COMPOINT;75017 PARIS;48.8918435;2.3242908
CENTRE MEDICO PSY. 91 G 09;12  PLATEAU DES GLIERES;91210 DRAVEIL;48.6795939;2.4153066
CENTRE ACCUEIL THERAPEUTIQUE;26 AV HONORINE;93700 DRANCY;48.9182954;2.4512628
CENTRE DE SANTE MENTALE 93G14 BONDY;16 R DUBREUIL;93140 BONDY;48.9032852;2.4759983
CENTRE MEDICO-PSYCHO 77 G 13;19 R EMILE RONNE;77290 MITRY MORY;48.9790984;2.622898
LONG SEJOUR DU CH.MELUN;R FRETEAU DE PENY;77000 MELUN;48.5386165;2.6661942
CATTP MONTEREAU;10B TSSE D'ALEMBERT;77130 MONTEREAU FAULT YONNE;48.384734;2.956193
CHI POISSY ST-GERMAIN SITE ST-GERMAIN;20 R ARMAGIS;78101 ST GERMAIN EN LAYE CEDEX;48.8976125;2.0856312
HOPITAL PRIVE DE VERSAILLES-LA MAYE;49 R DU PARC DE CLAGNY;78009 VERSAILLES CEDEX;48.8165144;2.141359
CLINIQUE DU PARISIS - GRPE STE MARIE;15 AV DE LA LIBERATION;95240 CORMEILLES EN PARISIS;48.973474;2.198378
CTRE D'ACCUEIL THERAP.A TEMPS PARTIEL;19 R DES 4 CHEMINEES;92100 BOULOGNE BILLANCOURT;48.8318202;2.2425452
CMP ADULTES 92G01;196 BD GALLIENI;92390 VILLENEUVE LA GARENNE;48.9339926;2.3328371
HOPITAL COCHIN;27 R DU FAUBOURG SAINT-JACQUES;75679 PARIS CEDEX 14;48.8358652;2.3377527
MAISON DES 13/17;13 R GUILLAUME COLLETET;94150 RUNGIS;48.7522423;2.342998
U.J.T.P GENTILLY;10 R JULIEN BONNOT;94250 GENTILLY;48.8095268;2.347965
HÔPITAL PRIVÉ DES PEUPLIERS;8 PL DE L'ABBE G. HENOCQUE;75013 PARIS;48.8238387;2.3529865
CLINIQUE DU VAL DE BIEVRE L'ABBAYE;2 R HORACE CHOISEUL;91170 VIRY CHATILLON;48.6677358;2.3737786
CATTP SECTEUR G09;6 R DOCTEUR LOUVET;95200 SARCELLES;48.9975688;2.3739023
CMP INFANTO-JUVENILE /M.ALFORT;9 R VICTOR HUGO;94700 MAISONS ALFORT;48.8013323;2.433051
CATTP SUE;3 R EUGENE SUE;91270 VIGNEUX SUR SEINE;48.7047771;2.4378245
CENTRE MEDICO-PSY.94 G 03;4B R DES CHRYSANTHEMES;94500 CHAMPIGNY SUR MARNE;48.8105412;2.5587932
CMP CHAMP DE FOIRE;R DU CHAMP DE FOIRE;77320 LA FERTE GAUCHER;48.7826309;3.304494
CENTRE HOSP. PRIVE DU MONTGARDE;32 R DU MONTGARDE;78410 AUBERGENVILLE;48.9571554;1.847143
HOPITAL DE JOUR DE POISSY;27 AV DU CEP;78300 POISSY;48.9273746;2.0434359
CMP ETAMPES;18 R DE LA REPUBLIQUE;91150 ETAMPES;48.4352178;2.1631052
CMP ADULTES 92G06 GUY DE MAUPASSANT;17 R MOSLARD;92700 COLOMBES;48.9163227;2.2382157
HOPITAL CORENTIN CELTON (AP-HP);4 PRV CORENTIN-CELTON;92133 ISSY LES MOULINEAUX CEDEX;48.8245306;2.2743419
CATTP ADULTES / U.M.E. 92G03;99 BD VICTOR HUGO;92110 CLICHY;48.901249;2.31633
CMP BAUER;147 R DU DOCTEUR BAUER;93400 ST OUEN;48.9040326;2.3462779
GPE HOSP ARMAND TROUSSEAU-ROCHE GUYON;26 AV DU DR ARNOLD NETTER;75571 PARIS CEDEX 12;48.8408083;2.3881833
CLINIQUE DE BERCY;9 QUA DE BERCY;94220 CHARENTON LE PONT;48.8225653;2.3972682
ATELIER THERAPEUTIQUE ARC EN CIEL;66 R DE COULMIERS;94130 NOGENT SUR MARNE;48.8421002;2.4917923
ETABLISSEMENT DE SANTE LE PRIEURE;4 R BEZOUT;77212 AVON CEDEX;48.4192846;2.7368928
CONSULTATION PRÉ ET POSTNATALE;20 R ARMAGIS;78105 ST GERMAIN EN LAYE CEDEX;48.8976125;2.0856312
HOP PRIVE DE VERSAILLES FRANCISCAINES;7B R PORTE DE BUC;78009 VERSAILLES CEDEX;48.795226;2.1385684
CMP ANNEXE;100B R BOURQUELOT;78500 SARTROUVILLE;48.9437909;2.1992185
CMP;10 VLA DES MARRONNIERS;92000 NANTERRE;48.8828003;2.2202113
CENTRE THOREZ;38 PL DE L'EUROPE;95100 ARGENTEUIL;48.9068945;2.2622554
CMP ADULTE CH COURBEVOIE-NEUILLY G07;1 AV JEANNE;92600 ASNIERES SUR SEINE;48.9076724;2.2726238
HOPITAL PRIVE COGNACQ-JAY;15 R EUGENE MILLON;75015 PARIS;48.8377714;2.2928287
CENTRE MEDICO-PSYCHOLOGIQUE G07;7 R RENAUD;95160 MONTMORENCY;48.9931022;2.3247554
CENTRE HOSPITALIER DE CARNELLE;2 ALL DE LA FONTAINE AU ROY;95270 ST MARTIN DU TERTRE;49.1038188;2.334974
CMP CATTP ORDENER;40 VOI ORDONER;75018 PARIS;48.89215;2.3444472
CENTRE CHATELET;5 R SAINT DENIS;75001 PARIS;48.8587662;2.3474434
CLINIQUE DES NORIETS;12 R DES NORIETS;94408 VITRY SUR SEINE CEDEX;48.7940164;2.3814796
CMP 94G12;9 PROM VENISE GOSNAT;94200 IVRY SUR SEINE;48.813055;2.38822
HOPITAL DE JOUR 95G11;R DE L'HOTEL DIEU;95500 GONESSE;48.987459;2.448264
CENTRE MEDICO PSY;40 R HECTOR BERLIOZ;93000 BOBIGNY;48.9059103;2.4526204
APPARTEMENT THERAPEUTIQUE;35 R L.A. BLANQUI;93140 BONDY;48.8996808;2.4822275
CMP BLUM;73 AV LEON BLUM;77176 SAVIGNY LE TEMPLE;48.5966089;2.581447
ANNEXE D'ORGEMONT MOYEN SEJOUR;2B R D'ORGEMONT;77100 MEAUX;48.9558243;2.8696165
LONG SEJOUR CH MONTEREAU;1B R VICTOR HUGO;77875 MONTEREAU CEDEX;48.3829123;2.9539991
APPARTEMENT THERAPEUTIQUE;40 PL DES ARCADES;95280 JOUY LE MOUTIER;49.0121278;2.0408311
CLINIQUE LAMBERT;67 AV FOCH;92250 LA GARENNE COLOMBES;48.9079967;2.2415446
CENTRE TIPHAINE;23 R TIPHAINE;75015 PARIS;48.8488179;2.2964935
HOPITAL DE JOUR PEDOPSYCHIATRIQUE;26 BD BRUNE;75014 PARIS;48.8270097;2.3077751
C.H.I. DE MEULAN (SITE DE BÈCHEVILLE);1 R BAPTISTE MARCET;78130 LES MUREAUX;48.987251;1.929839
APPT THERAP ENTRAIDE DU VEXIN PONTOISE;14 PL DE HAYETTE;95280 JOUY LE MOUTIER;49.0078538;2.0383818
CMP DE SAINT-CLOUD;18 R GOUNOD;92210 ST CLOUD;48.8428968;2.2124498
CLINIQUE DU PARC DE VANVES;60 AV DU GENERAL DE GAULLE;92130 ISSY LES MOULINEAUX;48.8201113;2.2794778
CLINIQUE MIRABEAU MONT D'EAUBONNE;37 AV DE PARIS;95600 EAUBONNE;48.9917583;2.2865646
CTRE HOSP. SPECIALISE EN PNEUMOLOGIE;24 R ALBERT THURET;94669 CHEVILLY LARUE CEDEX;48.770227;2.3358852
CENTRE D'ACCUEIL THERAPEUT TPS PARTIEL;40 AV DE LA REPUBLIQUE;94550 CHEVILLY LARUE;48.7624325;2.3666333
HOPITAL PRIVE ATHIS MONS/JULES VALLES;38 AV JULES VALLES;91200 ATHIS MONS;48.7001289;2.3761201
CENTRE DU PONT BLANC AUBERVILLIERS;17 R DU PONT BLANC;93300 AUBERVILLIERS;48.9153373;2.3939819
ANTENNE DE SANTE MENTALE;10 PL CHARLES DIGEON;94160 ST MANDE;48.8435334;2.4189588
CENTRE MEDICO PSYCHOLOGIQUE;19 R VICTOIR BEAUSSE;93100 MONTREUIL;48.8671495;2.4440849
CTRE D'ACCUEIL THERAP.A TEMPS PARTIEL;3 SQ HENRI SELLIER;94600 CHOISY LE ROI;48.7518388;2.445914
"HOPITAL PSYCHIATRIQUE ""L'EAU VIVE""";6 AV DU GENERAL DE GAULLE;91450 SOISY SUR SEINE;48.6418733;2.4556862
HOPITAL PRIVE DU VAL D'YERRES;31 AV DE L'ABBAYE;91330 YERRES;48.7125266;2.4961872
SERVICE ACCUEIL FAMILIAL THERAPEUTIQUE;6 R SAINT- FIACRE;77100 MEAUX;48.9672432;2.8841968
HOPITAL DE JOUR LA TRAVERSIERE ETAMPES;33 R VAN LOO;91150 ETAMPES;48.4378143;2.1666539
CMP ARPAJON;110 R DE VERDUN;91520 EGLY;48.57837;2.2395679
CLINIQUE REMUSAT;21 R DE REMUSAT;75016 PARIS;48.8479117;2.2714179
"HÔPITAL DE JOUR ""L'ENVOL""";2 R PORTE CHANT À L'OIE;78200 MANTES LA JOLIE;48.9921006;1.7173161
CMP LES HAUTES PLAINES 91.I.04;21  LES HAUTES PLAINES;91940 LES ULIS;48.6792779;2.16647
CMP ADULTES 92G13 (CROISSANTS);21 R DES CROISSANTS;92380 GARCHES;48.845134;2.1967603
CENTRE D'ACCUEIL ET DE SOINS (CAS);47 AV JEAN JAURES;92150 SURESNES;48.8657096;2.2026574
CTRE CHIRURGICAL PIERRE CHEREST;5 R PIERRE CHEREST;92200 NEUILLY SUR SEINE;48.8832765;2.279982
CTRE DE SANTE MENTALE ANTONIN ARTHAUD;4 R DANTON;92230 GENNEVILLIERS;48.9177302;2.2984746
HAD 92G01;4 R DANTON;92230 GENNEVILLIERS;48.9177302;2.2984746
CENTRE MOGADOR;30 R DE MOGADOR;75009 PARIS;48.8756527;2.331333
CLINIQUE DE DOMONT;R JACQUES PRÉVERT;95330 DOMONT;49.0309725;2.3373423
CMP ADULTES TURBIGO;36 R DE TURBIGO;75003 PARIS;48.864668;2.3530148
HOPITAL DES GARDIENS DE LA PAIX;35 BD SAINT-MARCEL;75013 PARIS;48.83871;2.3578001
CENTRE MEDICO-PSY. 91 G 09;72 R JEAN ARGELIES;91261 JUVISY SUR ORGE CEDEX;48.6880686;2.3828639
CENTRE ADULTE EUGENIE EBOUE;16 R EUGENIE EBOUE;75012 PARIS;48.8457171;2.3866238
CLINIQUE DENTAIRE GARANCIERE (AP-HP);5 R SANTERRE;75006 PARIS;48.8434977;2.4013272
GHHMAC SITE HENRI MONDOR;51 AV DE LATTRE DE TASSIGNY;94010 CRETEIL CEDEX;48.7991223;2.4529589
USLD DU CH SUD FRANCILIEN DE CORBEIL;59 BD HENRI DUNANT;91100 CORBEIL ESSONNES;48.5974652;2.479514
CMP LES MOZARDS;5 R DU 14 JUILLET;91100 CORBEIL ESSONNES;48.6144126;2.4847833
CHI  ROBERT BALLANGER;BD ROBERT BALLANGER;93602 AULNAY SOUS BOIS CEDEX;48.9504812;2.5238532
CENTRE MEDICO-PSYCHOLOGIQUE;3 BD LENINE;93290 TREMBLAY EN FRANCE;48.9506883;2.5661017
BTP RESIDENCES MEDICO-SOCIALES;24 R DES BERCHERES;77342 PONTAULT COMBAULT CEDEX;48.7871878;2.6113693
UNITE PSYCHIATRIQUE 77G14;53 R SAINT LAURENT;77400 LAGNY SUR MARNE;48.8731651;2.7063695
CENTRE MEDICAL LE PARC CH DU VEXIN;R DE LA BUCAILLE;95510 AINCOURT;49.0748893;1.7687646
"HOPITAL ""LE PARC""";CHE DES AUMUSES;95153 TAVERNY CEDEX;49.027441;2.223507
C.A.C. ADULTE GARANCIÈRE;17 R GARANCIERE;75006 PARIS;48.8495308;2.3359801
CENTRE DE JOUR CATTP;22 R GAMBETTA;94195 VILLENEUVE S GEORGES CEDEX;48.7306525;2.4559826
CENTRE DE GUIDANCE INFANTILE;53 R DE LA CRECHE;77100 MEAUX;48.954713;2.8857597
CMP DE MAGNY;R CARNOT;95420 MAGNY EN VEXIN;49.1549704;1.7858632
"MAISON DE SANTE ""CLAIRE DEMEURE""";12 R PORTE DE BUC;78000 VERSAILLES;48.7935919;2.1371203
HOPITAL DE JOUR CENTRE DIOGENE;3 R FERNANDO;92000 NANTERRE;48.8920772;2.1910534
CENTRE DE JOUR M'BORAYU 95I01;25 BD GALLIENI;95100 ARGENTEUIL;48.9428616;2.2432396
CMP 92G04;86 R DU PRESIDENT WILSON;92300 LEVALLOIS PERRET;48.8948674;2.2880522
CENTRE ARMAILLE;1719 R D'ARMAILLÉ;75017 PARIS;48.878101;2.2915469
CTRE MED PEDAG J ARNAUD BOUFFEMONT;5 R PASTEUR;95570 BOUFFEMONT;49.046101;2.297662
CMP MARCADET;258 R MARCADET;75018 PARIS;48.8926259;2.3296582
CENTRE MEDICO-PSYCH.F.MERLIN;18 R RUE DE L'AVENIR;93800 EPINAY SUR SEINE;48.9556752;2.3297514
HOPITAL DE JOUR 93G13 BOBIGNY;12  CITE KARL MARX;93000 BOBIGNY;48.9058684;2.4404886
C.M.P.ADULTES PERREUX/M;2 R LOUIS GOURLET;94170 LE PERREUX SUR MARNE;48.8468194;2.5074412
POLYCLINIQUE VAUBAN;135 AV VAUBAN;93190 LIVRY GARGAN;48.9178458;2.5232088
HOPITAL DE JOUR INFANTO-JUVENILE;11 R DU PALAIS DE JUSTICE;77120 COULOMMIERS;48.8132824;3.086031
CTRE MEDICO-PSYCHOLOGIQUE 95I01;16 R DE LA BERTHIE;95870 BEZONS;48.9364591;2.2046497
CMP ADULTES 92G16 (PAVE BLANC);60 R DU PAVE BLANC;92140 CLAMART;48.78421;2.2381764
CMP ISRAEL;8 R GASTON ISRAEL;95880 ENGHIEN LES BAINS;48.9739467;2.3078561
HOP DE JOUR INERSEC P ADO DE L'ESSONNE;6 R DU VIEUX PERRAY;91700 STE GENEVIEVE DES BOIS;48.6547693;2.3098032
CATTP;9 AV DU GENERAL LECLERC;94140 ALFORTVILLE;48.8003209;2.4201268
CATTP NEMOURS;3 CHE DES DAMES;77140 NEMOURS;48.267043;2.692611
LONG SEJOUR HOPITAL LOCAL DE JOUARRE;18 R PETIT HUET;77640 JOUARRE;48.9278682;3.128696
CLINIQUE MEDIC. DU VAL DE SEINE;1 CHE DU COEUR VOLANT;78430 LOUVECIENNES;48.8664545;2.1128061
CTRE MEDICO-PSY SECT.78-I-3;15 R HENRI DUNANT;78110 LE VESINET;48.8945155;2.137025
CLINIQUE AMBROISE PARE;2 R LEON BLOY;92340 BOURG LA REINE;48.7866469;2.3218325
CENTRE DE TRAITEMENT ET DE RÉADAPTATIO;31 R DE LIÈGE;75008 PARIS;48.8794624;2.3260074
INSTITUT PAUL SIVADON - ELAN RETROUVÉ;23 R DE LA ROCHEFOUCAULD;75009 PARIS;48.8786677;2.3345199
SAFT SAVIGNY;13 R JOLIOT CURIE;91600 SAVIGNY SUR ORGE;48.6752839;2.3511139
CLINIQUE CCN - PORTE DE PARIS;10 BD ANATOLE FRANCE;93200 ST DENIS;48.9298622;2.3558404
CLINIQUE MAUSSINS-NALLET;67 R DE ROMAINVILLE;75019 PARIS;48.8770417;2.4045038
CENTRE MEDICO PSY.LUXEMBOURG;3 R DU LUXEMBOURG;93000 BOBIGNY;48.9126096;2.4673966
CENTRE MEDICO PSYCHOLOGIQUE;63B R HENRI BARBUSSE;93370 MONTFERMEIL;48.901104;2.5692002
UNITE PSYCHIATRIQUE 77G15;25 AV GENDARME CASTERMANT;77500 CHELLES;48.8779245;2.6015686
CENTRE HOSPITALIER DE MONTEREAU;1B R VICTOR HUGO;77875 MONTEREAU CEDEX;48.3829123;2.9539991
CENTRE HOSPITALIER RENE DUBOS;6 AV DE L'ILE DE FRANCE;95300 PONTOISE;49.0644797;2.094137
CENTRE NATIONAL DE TRAITEMENT PSY;2 R DU LAC;92500 RUEIL MALMAISON;48.8701425;2.1830828
CLINIQUE DU CHATEAU DE VILLEBOUZIN;R ANDRE CHERMETTE;91310 LONGPONT SUR ORGE;48.6554334;2.2801507
HOPITAL DE JOUR 92G02  (DUPONT);35 R DUPONT;92600 ASNIERES SUR SEINE;48.9208439;2.2826753
CMP BRETIGNY 91G03;13 BD DE LA REPUBLIQUE;91220 BRETIGNY SUR ORGE;48.6078177;2.3059914
CENTRE RIDDER;3 R DE RIDDER;75014 PARIS;48.8311258;2.3118698
CMP 91I05;2B AV DU PRESIDENT F. MITTERAND;91380 CHILLY MAZARIN;48.7004897;2.3151095
HOPITAL  BRETONNEAU ( AP-HP );23 R JOSEPH DE MAISTRE;75885 PARIS CEDEX 18;48.8908011;2.3310632
CMP ENFANTS 92I01;36 QU D'ASNIERES;92390 VILLENEUVE LA GARENNE;48.9328868;2.3356872
CATTP;6 ALL DU PRESID SALVADOR  ALLENDE;93450 L ILE ST DENIS;48.932662;2.338999
CENTRE LA TOUR D'AUVERGNE;18 R DE LA TOUR D'AUVERGNE;75009 PARIS;48.8790801;2.3441854
INSTITUT PAUL SIVADON (FOLIE REGNAULT);55 R DE LA FOLIE-REGNAULT;75011 PARIS;48.8607763;2.3859547
CLINIQUE DE LA DHUYS;1 R PIERRE ET MARIE CURIE;93177 BAGNOLET CEDEX;48.8700768;2.4236918
CENTRE MEDICO-PSY;9 R SAINT MERRY;77300 FONTAINEBLEAU;48.4014385;2.6888435
CLINIQUE PSYCHIATRIQ.DE L'ANGE GARDIEN;R LEOPOLD BELLAN;77260 CHAMIGNY;48.9754085;3.150776
HOPITAL DE JOUR SECT.78 G 13;2 PAS ROCHE;78000 VERSAILLES;48.809992;2.1368604
CESSRIN DE MAISONS LAFFITTE;1 AV LOUVOIS;78605 MAISONS LAFFITTE CEDEX;48.9482738;2.1558124
CENTRE HOSPITALIER D'ORSAY;4 PL DU GENERAL LECLERC;91401 ORSAY CEDEX;48.69867;2.1872302
HOPITAL NORD 92;75 AV DE VERDUN;92390 VILLENEUVE LA GARENNE;48.9349363;2.3267271
CMP DE GRIGNY 91 G 08;1 PL QUINCONCES;91350 GRIGNY;48.6526744;2.3721222
GHU-EST SITE JEAN ROSTAND;39 R JEAN LE GALLEU;94203 IVRY SUR SEINE CEDEX;48.8125757;2.378185
CMP REPUBLIQUE;73 AV DE LA REPUBLIQUE;94300 VINCENNES;48.8496491;2.4340215
"CLINIQUE MEDICALE ""JARDINS DE BRUNOY""";38 RTE DE BRIE;91800 BRUNOY;48.7021159;2.5106303
CTRE MEDICO PSYCHOLOGIQUE 78I05;3 R EMILE DUREUIL;78320 LA VERRIERE;48.7550809;1.949322
CENTRE DE LONG SEJOUR HENRY DUNANT;95 R MICHEL ANGE;75016 PARIS;48.8402399;2.2581138
CMP 92I06 ENFANTS;27B AV VICTOR CRESSON;92130 ISSY LES MOULINEAUX;48.82274;2.2686373
HOPITAL AMERICAIN 2;63 BD VICTOR HUGO;92202 NEUILLY SUR SEINE CEDEX;48.8932795;2.2733115
CENTRE MEDICO-PSY. 95 G 03;29 AV DE PARIS;95600 EAUBONNE;48.9923717;2.2848231
CENTRE DE SANTE 93 I 01;6 R AUGUSTE POULLAIN;93200 ST DENIS;48.9407438;2.3559732
CLINIQUE PARIS V;36 BD SAINT MARCEL;75005 PARIS;48.8387317;2.3577837
CENTRE DE POST-CURE DE LA METAIRIE;5 COUR DE LA METAIRIE;75020 PARIS;48.8736016;2.3857427
CENTRE MEDICO-PSYCH.UNION;4 R DE L'UNION;93130 NOISY LE SEC;48.8948176;2.4596556
CLINIQUE HOFFMANN;1 R DU DR SCHWEITZER;93110 ROSNY SOUS BOIS;48.8822951;2.4898246
CENTRE MEDICO-PSY;190 R DES PIECES DE LUGNY;77550 MOISSY CRAMAYEL;48.625635;2.5803564
CLINIQUE MEDICALE ET CARDIOLOGIQUE;15 R DES COUTURES;78930 GOUSSONVILLE;48.9207692;1.7661937
CENTRE MEDICO PSYCHOLOGIQUE 78I05;26 R PASTEUR;78120 RAMBOUILLET;48.6500507;1.8259511
CATTP CERGY POLE;2 R DU LENDEMAIN;95800 CERGY;49.0486984;2.0117583
CLINIQUE SAINT GERMAIN;12 R BARONNE GERARD;78100 ST GERMAIN EN LAYE;48.897999;2.0848708
MAISON DE CURE DE L'YVETTE;3 R GUY MOCQUET;91401 ORSAY CEDEX;48.7003088;2.1907936
CENTRE HOSPITALIER VICTOR DUPOUY;69 R DU LT. COLONEL PRUD'HON;95107 ARGENTEUIL CEDEX;48.947411;2.2489499
GROUPE HOSPITALIER P.GUIRAUD CLAMART;1 R ANDREAS BECK;92140 CLAMART;48.799815;2.257289
FOYER DE POST CURE MERCIER;37B R SEBASTIEN MERCIER;75015 PARIS;48.844026;2.2797754
H.J. L'ELAN RETROUVE  MALAKOFF;1 ALL JACQUES BREL;92240 MALAKOFF;48.8145398;2.2804936
HOPITAL PRIVE DE L'OUEST PARISIEN;3 AV CASTIGLIONE DEL LAGO;78190 TRAPPES;48.7792822;1.9897747
LA MAISON HOSPITALIERE;1 PL DES PINETS;95000 CERGY;49.035617;2.060325
CATTP MONTFAUCON;31 BD DE MONTFAUCON;91150 ETAMPES;48.442492;2.1643111
ETABLISSEMENT DE SANTE LA MARTINIERE;CHE DE LA MARTINIERE;91400 SACLAY;48.7253929;2.1778575
CTRE MEDICO-PSYCHOLOGIQUE 95G05;2 PL ST-JUST;95100 ARGENTEUIL;48.9315073;2.2132275
CASH DE NANTERRE-HOP MAX FOURESTIER;403 AV DE LA REPUBLIQUE;92014 NANTERRE CEDEX;48.9122171;2.2236494
CTRE D'ACCUEIL THERAP.A TEMPS PARTIEL;33 R DU PRESID.ROOSEVELT;92140 CLAMART;48.8046613;2.2583529
CATTP MERE-ENFANTS 92I01;10B GR CHARLES DE GAULLE;92600 ASNIERES SUR SEINE;48.9057106;2.286965
CLINIQUE CHIRURGICALE DAUTANCOURT;6 R JACQUEMONT;75017 PARIS;48.8883323;2.3232148
C.M.P. DE L'A.R.E.A.;73 R DU PR  EINSTEIN;94260 FRESNES;48.757205;2.326243
CENTRE DE LONG SEJOUR CH DE CARNELLE;2 ALL DE LA FONTAINE AU ROY;95270 ST MARTIN DU TERTRE;49.1038188;2.334974
ATELIER THERAPEUTIQUE M.G.E.N.;22 R DE LA POINTE D'IVRY;75013 PARIS;48.822432;2.3637947
CENTRE MEDICO-PSY. 91 G 13;1 R LEON BLUM;91130 RIS ORANGIS;48.6556358;2.410878
CH SUD FRANCILIEN-CH LOUISE MICHEL;R DU PONT AMAR;91014 EVRY CEDEX;48.629828;2.441782
MAIS DE REPOS SPECIALISEE CHANTEMERLE;5 QU DE LA RUELLE;77590 BOIS LE ROI;48.4809312;2.6914112
CMP ADULTE CH COURBEVOIE-NEUILLY/SEINE;38 R DU PONT;92200 NEUILLY SUR SEINE;48.8878771;2.2581502
UNITE HOSP BICHAT MAISON BLANCHE;4 AV DE LA PORTE DE SAINT OUEN;75018 PARIS;48.8978746;2.329088
CENTRE MEDICO-PSY.LES MARONNIERS 91G05;4 AV REGIMENT NORMANDIE NIEMEN;91700 STE GENEVIEVE DES BOIS;48.6373359;2.3317012
CLINIQUE PARIS MONTMARTRE;197 R MARCADET;75018 PARIS;48.8917555;2.3340947
CENTRE MEDICO PSYCHO.LECLERC;16 AV DU GENERAL LECLERC;93120 LA COURNEUVE;48.9268718;2.3793756
CTRE ACC.THERAP.A TEMPS PARTIEL;1 ALL DES BOUTONS D'OR;94000 CRETEIL;48.8001455;2.4517452
CMP LA VARENNE 94G05;8 BD DE CHAMPIGNY;94100 ST MAUR DES FOSSES;48.8075635;2.5089962
CTR READAPT FONCT ELLEN POIDATZ;1 R DU COUDRAY;77310 ST FARGEAU PONTHIERRY;48.5542849;2.5246073
CATTP 94G03 - CH LES MURETS;4 R DES CHRYSANTEMES;94500 CHAMPIGNY SUR MARNE;48.8105412;2.5587932
